quantile,total_evaluation_time,read_image_time,segmentation_time,m1_time,m1_0,m2_time,m2_0,m3_time,m3_0,m4_time,m4_0,m5_time,m5_0,m6_time,m6_0,m7_time,m7_0,m8_time,m8_0,m9_time,m10_time,m10_0,m11_time,m11_0,m12_time,m12_0,m13_time,m13_0,m14_time,m14_0,m14_1,m14_2,m14_3,m14_4,m14_5,m15_time,m15_0,m16_time,m16_0,m16_1,m16_2,m16_3,m16_4,m17_time,m17_0,m17_1,m17_2,m18_time,m18_0,m18_1,m19_time,m19_0,m20_time,m20_0,m21_time,m21_0,m21_1,m21_2,m21_3,m21_4,m21_5,m21_6,m21_7,m21_8,m21_9,m22_time,m22_0,m23_time,m24_time,m25_time,m30_time
0.25,281.7615,0.009,6.543,0.0001,355148.5,0.0515,84198.5,0.0612,2713.5,0.0455,0.0296,0.0629,0.5786,12.9868,0.6033,19.2394,2.7153,25.2552,3.771,8.5134,2.4812,0.5009,0.1006,809.5,4.6904,132.5,0.0748,56.4449,0.2559,61.1937,21.203,0.1141,5.3333,-2.4527,8.4718,0.0817,26.0989,4.4956,17.4804,0.0738,0.1652,0.6448,0.1903,0.0785,29.5,34.5,47.5,0.1734,4.728,1.7074,4.6858,12.2146,163.8497,259.2499,0.0072,18.0,14.0,52.0,43.0,14.0,12.0,0.0084,0.0044,9.0,7.0,0.0016,0.3402,1.1574,1.3782,0.0,11.2801
0.5,299.9556,0.0138,8.791,0.0002,595978.0,0.0591,106498.0,0.083,5569.0,0.0525,0.0398,0.0726,0.6387,13.2764,0.656,19.4473,3.1693,25.4545,4.6523,9.9762,2.9394,0.5376,0.2037,1743.0,13.7588,259.0,0.0802,73.5964,0.2732,76.2311,27.7922,1.3217,8.0883,0.2638,12.2652,0.0902,38.7664,4.5563,248.575,0.1522,0.2207,0.8071,0.2527,0.0873,51.0,78.0,93.0,0.1841,5.2904,1.7875,13.6562,15.4308,166.8271,1149.9245,0.0094,24.0,20.0,67.0,58.0,18.0,15.0,0.046,0.022,11.0,9.0,0.0017,0.4641,1.398,1.4704,0.0,12.8726
0.75,344.5344,0.021,12.1102,0.0002,855812.0,0.069,129990.0,0.1108,9764.0,0.0609,0.0495,0.0828,0.6856,13.6198,0.7113,19.9036,3.4694,25.8331,5.5114,11.9054,3.3433,0.6127,0.3091,2551.0,31.334,444.0,0.0885,85.9417,0.2891,85.946,32.749,3.7988,12.1717,2.569,17.3738,0.0999,54.1464,4.6566,352.5484,0.2469,0.2778,0.8906,0.3148,0.0972,76.5,131.5,163.5,0.1995,5.8194,1.8684,30.7922,18.5564,169.9,3113.7351,0.0129,35.0,29.0,88.0,78.0,23.0,20.0,0.1367,0.1156,14.5,12.0,0.0023,0.6367,1.6411,1.5801,0.0,15.696
